acqf,trial,iteration,best_f,sum_c_x,cum_costs,n_mem,eta,duration,n_prefs
EEIPU,5,1,-18.984667696205136,2.377292749566568,49.08799575268177,0,0.9844914628996253,138.86167931556702,5
EEIPU,5,2,-18.984667696205136,1.5511621819631622,50.639157934644935,1,0.9743722816367958,217.1558756828308,5
EEIPU,5,3,-11.404647016232282,1.2682448975675682,51.907402832212505,1,0.9660987431548929,216.64557218551636,5
EEIPU,5,4,-11.330029979229815,1.3626875383094288,53.270090370521935,1,0.9572090974652978,225.58330583572388,5
EEIPU,5,5,-11.330029979229815,1.6023787218095817,54.872469092331514,1,0.9467557993342341,267.89196515083313,5
EEIPU,5,6,-11.330029979229815,1.7749495164376288,56.647418608769144,0,0.9351767161809355,273.98871064186096,5
EEIPU,5,7,-11.330029979229815,1.6668287733669258,58.31424738213607,1,0.9243029708769773,310.1086347103119,5
EEIPU,5,8,-11.330029979229815,1.9443613174671235,60.25860869960319,0,0.9116187107521061,317.16419982910156,5
EEIPU,5,9,-11.330029979229815,1.6907841263522156,61.9493928259554,1,0.9005886900039091,406.8784863948822,5
EEIPU,5,10,-11.330029979229815,1.2847678451673041,63.2341606711227,1,0.8922073622117055,482.48794865608215,5
EEIPU,5,11,-11.330029979229815,1.637957809874656,64.87211848099736,1,0.8815219598909686,360.3563153743744,5
EEIPU,5,12,-11.330029979229815,1.2897079458156995,66.16182642681306,1,0.8731084047955863,408.4788281917572,5
EEIPU,5,13,-11.192087092359902,1.830432574014722,67.99225900082779,1,0.8611673716649305,459.12579870224,5
EEIPU,5,14,-11.192087092359902,1.8790757710969848,69.87133477192477,0,0.8489090091575003,446.28554606437683,5
EEIPU,5,15,-11.192087092359902,1.6099440401770895,71.48127881210185,1,0.8384063578196851,438.67584443092346,5
EEIPU,5,16,-11.192087092359902,1.9618857932624636,73.44316460536432,1,0.8256077748024875,499.9167990684509,5
EEIPU,5,17,-10.625280930065635,2.5226197791287883,75.9657843844931,0,0.809151180450828,556.8387169837952,5
EEIPU,5,18,-10.625280930065635,1.243470494843408,77.20925487933651,1,0.8010392605764177,509.2031784057617,5
EEIPU,5,19,-10.625280930065635,1.525523229631445,78.73477810896796,1,0.7910873379078543,599.7833659648895,5
EEIPU,5,20,-10.455014508896376,2.156352792151268,80.89113090111923,1,0.7770201275128906,498.5512025356293,5
EEIPU,5,21,-10.455014508896376,1.4242614102271065,82.31539231134633,1,0.7677287977323382,545.1874067783356,5
EEIPU,5,22,-10.077431626868162,1.9244033582117566,84.23979566955809,1,0.7551747356033242,500.3796355724335,5
EEIPU,5,23,-10.077431626868162,2.7064054572328136,86.94620112679091,0,0.7375191946734978,488.5907025337219,5
EEIPU,5,24,-3.0570087771565824,2.9717012009538983,89.91790232774481,0,0.7181329670687466,456.8315987586975,5
EEIPU,5,25,-3.0570087771565824,2.8826096211325,92.80051194887731,1,0.6993279384228713,445.6682376861572,5
EEIPU,5,26,-3.0570087771565824,2.9333994399837118,95.73391138886103,1,0.6801915766712526,510.3537564277649,5
EEIPU,5,27,-3.0570087771565824,2.948156038899285,98.68206742776032,1,0.6609589485839883,553.4767158031464,5
EEIPU,5,28,-3.0570087771565824,2.0276489987581963,100.70971642651851,1,0.6477313518862267,462.8091197013855,5
EEIPU,5,29,-2.6714141427086195,1.8208146577239726,102.53053108424248,1,0.6358530623161402,699.089052438736,5
EEIPU,5,30,-2.6714141427086195,2.9944043103281106,105.52493539457059,0,0.6163187284194367,733.5155317783356,5
EEIPU,5,31,-2.6714141427086195,1.4193443512586579,106.94427974582925,1,0.6070594756270679,694.3052875995636,5
EEIPU,5,32,-2.6714141427086195,2.2492642481507006,109.19354399397994,1,0.5923861468805971,562.0146725177765,5
EEIPU,5,33,-2.6714141427086195,3.186635661417345,112.38017965539728,0,0.5715977701064371,876.554211139679,5
EEIPU,5,34,-2.6714141427086195,2.007669272311976,114.38784892770926,1,0.5585005134052549,511.5358917713165,5
EEIPU,5,35,-2.6714141427086195,3.4357970378072347,117.82364596551649,1,0.5360867043193076,639.0558412075043,5
EEIPU,5,36,-2.6714141427086195,2.0248288886571326,119.84847485417362,1,0.5228775049275309,712.6226100921631,5
EEIPU,5,37,-2.6714141427086195,1.86981369024848,121.7182885444221,1,0.5106795646480705,850.6557726860046,5
EEIPU,5,38,-2.6714141427086195,2.5645815459181227,124.28287009034021,1,0.49394922798294616,790.2757887840271,5
EEIPU,5,39,-2.6714141427086195,2.5540874161677323,126.83695750650794,1,0.47728735095561764,1046.2971115112305,5
EEIPU,5,40,-2.6714141427086195,2.418267229541879,129.25522473604983,1,0.46151151221854636,1028.278822183609,5
EEIPU,5,41,-2.6714141427086195,1.4356048077528172,130.69082954380264,1,0.4521461825061791,960.3299279212952,5
EEIPU,5,42,-2.6714141427086195,1.7785408572079109,132.46937040101054,1,0.4405436708367307,846.9279808998108,5
EEIPU,5,43,-2.6714141427086195,2.4266840720269074,134.89605447303745,1,0.4247129238793862,1028.7351830005646,5
EEIPU,5,44,-2.659279339289844,3.3633287235671876,138.25938319660463,0,0.40277187000635856,1301.2922596931458,5
EEIPU,5,45,-2.659279339289844,5.494744211410371,143.754127408015,1,0.3669262870526966,936.1568388938904,5
EEIPU,5,46,-2.659279339289844,3.8890529003681853,147.6431803083832,1,0.3415556122791849,1070.0892627239227,5
EEIPU,5,47,-2.659279339289844,5.417123807051111,153.0603041154343,1,0.306216394778819,901.6457874774933,5
EEIPU,5,48,-2.659279339289844,4.500066291818863,157.56037040725315,1,0.2768597053035564,778.5049955844879,5
EEIPU,5,49,-2.659279339289844,5.661938966364203,163.22230937361735,1,0.23992340852819008,1076.5970420837402,5
EEIPU,5,50,-2.659279339289844,3.970897427777137,167.1932068013945,1,0.21401881175873758,814.8590657711029,5
EEIPU,5,51,-2.659279339289844,6.29334922567203,173.4865560270665,0,0.17296343901604758,757.7025234699249,5
EEIPU,5,52,-2.659279339289844,4.190581784364225,177.67713781143073,1,0.145625706594655,822.162341594696,5
EEIPU,5,53,-2.659279339289844,4.153035925812199,181.83017373724292,1,0.11853290881180269,569.3616344928741,5
EEIPU,5,54,-2.659279339289844,2.8328113170431113,184.66298505428603,1,0.1000527450134086,545.228217124939,5
EEIPU,5,55,-2.659279339289844,2.701266687541625,187.36425174182764,1,0.08243072742664574,718.2676060199738,5
EEIPU,5,56,-2.659279339289844,3.1599846587963243,190.52423640062398,1,0.061816211470841265,542.9544367790222,5
EEIPU,5,57,-2.659279339289844,3.689662965937707,194.2138993665617,1,0.037746279399767206,557.609701871872,5
EEIPU,5,58,-2.659279339289844,5.869654595185072,200.08355396174676,0,-0.0005450736834448194,562.1275730133057,5
